txn_id,merchant_id,timestamp,amount,hour_of_day,is_odd_hour,billing_city,shipping_city,location_mismatch,device_type,new_device_flag,velocity_last_hour,amount_deviation_ratio,is_fraud
T10027,M121,2026-08-29T10:13:08.750942,5529.03,10,0,Chennai,Bengaluru,1,tablet,0,1,0.28,0
T10028,M107,2026-07-26T15:27:55.750952,788.44,15,0,Mumbai,Pune,1,tablet,0,1,1.58,0
T10029,M123,2026-09-04T15:11:21.750963,6340.17,15,0,Mumbai,Pune,1,mobile,0,1,0.79,0
T10030,M135,2026-09-03T21:53:29.750973,5286.39,21,0,Hyderabad,Bengaluru,1,mobile,0,3,1.76,0
T10031,M121,2026-08-29T23:20:46.750983,4702.29,23,0,Hyderabad,Chennai,1,mobile,0,2,0.24,0
T10032,M130,2026-08-02T18:57:14.750992,1918.56,18,0,Hyderabad,Hyderabad,0,mobile,0,1,1.28,0
T10033,M104,2026-08-29T12:47:27.751001,37020.41,12,0,Jaipur,Kolkata,1,tablet,0,5,1.85,0
T10034,M107,2026-09-03T13:37:25.751010,623.28,13,0,Chennai,Mumbai,1,mobile,0,1,1.25,0
T10035,M127,2026-08-21T10:05:04.751019,19072.17,10,0,Delhi,Kolkata,1,tablet,0,1,0.95,0
T10036,M133,2026-09-05T22:10:23.751027,3635.74,22,0,Hyderabad,Pune,1,desktop,0,1,1.21,0
T10037,M120,2026-08-24T04:42:08.751037,1285.42,4,0,Chennai,Jaipur,1,desktop,0,1,0.43,0
T10038,M135,2026-07-29T04:06:03.751046,3634.14,4,0,Bengaluru,Bhubaneswar,1,tablet,0,1,1.21,0
T10039,M118,2026-08-02T04:40:50.751055,776.23,4,1,Bhubaneswar,Bhubaneswar,0,tablet,0,1,1.55,0
T10040,M132,2026-08-14T23:06:06.751063,637.61,23,0,Delhi,Chennai,1,tablet,0,1,1.28,0
T10041,M115,2026-08-24T15:39:49.751072,190.45,15,0,Hyderabad,Bengaluru,1,mobile,1,1,0.02,0
T10042,M104,2026-08-14T02:23:53.751081,10313.16,2,1,Kolkata,Ahmedabad,1,desktop,0,1,0.52,0
T10043,M106,2026-08-29T18:43:31.751089,644.37,18,0,Bengaluru,Jaipur,1,desktop,0,1,1.29,0
T10044,M129,2026-07-29T11:09:04.751097,594.23,11,0,Bhubaneswar,Pune,1,desktop,0,1,1.19,0
T10045,M135,2026-08-13T15:19:37.751106,1311.15,15,0,Ahmedabad,Ahmedabad,0,desktop,0,2,0.44,0
T10046,M133,2026-08-15T12:23:47.751114,2327.6,12,0,Chennai,Hyderabad,1,desktop,1,1,0.78,0
T10047,M109,2026-08-03T05:14:20.751124,15417.73,5,1,Bengaluru,Hyderabad,1,mobile,0,1,0.77,0
T10048,M103,2026-08-02T00:46:46.751132,598.86,0,1,Mumbai,Bhubaneswar,1,desktop,1,1,1.2,1
T10049,M124,2026-09-02T10:08:20.751140,327.66,10,0,Kolkata,Jaipur,1,tablet,0,2,0.66,0
T10050,M131,2026-08-02T15:26:41.751148,466.88,15,0,Kolkata,Bengaluru,1,desktop,1,3,0.93,0
T10051,M125,2026-08-20T17:24:18.751159,728.23,17,0,Mumbai,Delhi,1,tablet,1,1,1.46,0
T10052,M116,2026-08-10T09:29:16.751172,2382.69,9,0,Kolkata,Chennai,1,desktop,0,1,0.79,0
T10053,M134,2026-07-25T12:29:02.751188,4168.51,12,0,Pune,Hyderabad,1,tablet,1,1,1.39,0
T10054,M101,2026-08-03T23:54:21.751201,3076.18,23,1,Bengaluru,Ahmedabad,1,tablet,1,1,1.03,1
T10055,M116,2026-08-29T05:18:03.751213,3231.29,5,1,Bhubaneswar,Bhubaneswar,0,tablet,0,2,1.08,0
T10056,M119,2026-07-28T05:44:39.751225,1523.15,5,1,Kolkata,Kolkata,0,tablet,0,1,0.19,0
T10057,M115,2026-07-27T22:31:25.751251,4508.71,22,0,Chennai,Bhubaneswar,1,mobile,0,2,0.56,0
T10058,M134,2026-08-12T18:53:47.751271,2760.61,18,0,Mumbai,Kolkata,1,desktop,1,1,0.92,0
T10059,M129,2026-08-26T07:52:27.751281,435.78,7,1,Bengaluru,Jaipur,1,tablet,0,1,0.87,0
T10060,M130,2026-08-14T13:25:01.751290,606.23,13,0,Hyderabad,Delhi,1,desktop,0,3,0.4,0
T10061,M139,2026-08-24T10:17:45.751299,1882.94,10,0,Mumbai,Ahmedabad,1,desktop,0,1,1.26,0
T10062,M121,2026-08-05T13:37:32.751307,29081.39,13,0,Mumbai,Jaipur,1,mobile,0,1,1.45,0
T10063,M115,2026-08-25T12:25:05.751316,4602.52,12,0,Ahmedabad,Ahmedabad,0,mobile,0,1,0.58,0
T10064,M119,2026-08-24T05:22:10.751324,4842.04,5,1,Kolkata,Jaipur,1,desktop,0,1,0.61,0
T10065,M114,2026-07-28T20:22:27.751333,388.97,20,0,Pune,Delhi,1,tablet,0,1,0.78,0
T10066,M113,2026-08-27T20:20:12.751342,7215.97,20,0,Jaipur,Bhubaneswar,1,desktop,0,5,0.36,0
T10067,M123,2026-07-31T16:51:52.751356,8509.37,16,0,Jaipur,Bengaluru,1,desktop,0,1,1.06,0
T10068,M108,2026-08-22T22:58:19.751370,1972.31,22,1,Bhubaneswar,Chennai,1,desktop,0,1,1.31,1
T10069,M116,2026-09-02T19:46:48.751379,1974.39,19,0,Delhi,Kolkata,1,desktop,0,1,0.66,0
T10070,M109,2026-08-31T08:50:56.751387,13715.2,8,1,Delhi,Jaipur,1,desktop,0,1,0.69,0
T10071,M133,2026-08-10T10:58:21.751396,2607.15,10,0,Ahmedabad,Chennai,1,tablet,0,8,0.87,0
T10072,M139,2026-08-27T22:03:59.751404,2326.24,22,1,Chennai,Delhi,1,mobile,0,1,1.55,0
T10073,M126,2026-08-13T20:40:29.751413,4188.47,20,1,Ahmedabad,Chennai,1,mobile,0,1,1.4,0
T10074,M129,2026-07-26T10:43:49.751421,325.98,10,0,Bhubaneswar,Hyderabad,1,desktop,0,1,0.65,0
T10075,M117,2026-09-01T02:53:42.751432,242.2,2,0,Mumbai,Bengaluru,1,desktop,0,1,0.16,0
T10076,M128,2026-07-29T00:40:57.751440,13319.23,0,1,Chennai,Jaipur,1,tablet,0,1,0.67,0
T10077,M127,2026-08-27T15:35:38.751450,21331.16,15,0,Chennai,Mumbai,1,mobile,0,1,1.07,0
T10078,M137,2026-07-23T23:58:12.751459,4792.46,23,1,Mumbai,Bengaluru,1,desktop,0,1,1.6,0
T10079,M137,2026-08-13T03:38:34.751467,2995.18,3,1,Ahmedabad,Delhi,1,desktop,0,1,1.0,0
T10080,M110,2026-08-08T00:02:56.751475,12047.56,0,1,Kolkata,Jaipur,1,mobile,0,1,0.6,0
T10081,M125,2026-09-02T23:29:37.751484,623.31,23,1,Mumbai,Jaipur,1,desktop,0,1,1.25,0
T10082,M131,2026-08-22T08:27:14.751492,439.16,8,1,Bengaluru,Chennai,1,desktop,0,3,0.88,0
T10083,M138,2026-08-30T19:04:04.751501,523.19,19,1,Bengaluru,Chennai,1,tablet,0,1,1.05,0
T10084,M107,2026-08-14T09:25:32.751508,773.07,9,0,Chennai,Jaipur,1,tablet,0,1,1.55,0
T10085,M115,2026-08-14T03:59:41.751517,6490.65,3,0,Kolkata,Hyderabad,1,tablet,1,1,0.81,0
T10086,M117,2026-08-29T12:01:54.751525,1654.52,12,0,Jaipur,Chennai,1,mobile,0,1,1.1,0
T10087,M131,2026-09-02T23:54:05.751536,299.42,23,1,Jaipur,Ahmedabad,1,desktop,0,1,0.6,0
T10088,M120,2026-09-03T04:57:33.751544,3697.7,4,0,Hyderabad,Kolkata,1,mobile,0,1,1.23,0
T10089,M124,2026-08-10T17:36:51.751552,786.59,17,0,Bengaluru,Ahmedabad,1,mobile,1,1,1.57,0
T10090,M106,2026-09-03T10:18:20.751560,551.54,10,0,Mumbai,Bengaluru,1,desktop,1,3,1.1,0
T10091,M116,2026-08-08T10:15:08.751568,2545.17,10,0,Kolkata,Delhi,1,desktop,1,3,0.85,0
T10092,M120,2026-08-22T10:04:26.751577,2604.42,10,0,Mumbai,Bhubaneswar,1,mobile,0,1,0.87,0
T10093,M114,2026-08-28T05:50:45.751586,168.91,5,1,Delhi,Delhi,0,desktop,0,1,0.34,0
T10094,M120,2026-08-30T15:22:27.751594,4061.1,15,0,Hyderabad,Jaipur,1,desktop,0,1,1.35,0
T10095,M105,2026-08-21T13:54:33.751602,22603.13,13,0,Bhubaneswar,Hyderabad,1,desktop,0,3,1.13,0
T10096,M116,2026-08-14T07:14:18.751610,2994.48,7,1,Chennai,Jaipur,1,mobile,1,1,1.0,1
T10097,M119,2026-08-23T00:13:03.751620,8439.49,0,1,Chennai,Ahmedabad,1,desktop,0,1,1.05,0
T10098,M115,2026-08-10T12:07:17.751628,4235.02,12,0,Chennai,Mumbai,1,tablet,0,1,0.53,0
T10099,M103,2026-09-05T04:44:44.751637,385.78,4,1,Ahmedabad,Chennai,1,mobile,0,1,0.77,0
T10100,M139,2026-08-04T03:48:04.751645,1079.7,3,1,Bengaluru,Delhi,1,tablet,0,1,0.72,0
T10101,M137,2026-08-09T16:53:38.751653,1276.89,16,0,Delhi,Chennai,1,desktop,0,2,0.43,0
T10102,M134,2026-09-03T12:57:02.751661,4452.75,12,0,Bengaluru,Chennai,1,desktop,0,4,1.48,0
T10103,M107,2026-08-14T17:26:44.751670,456.16,17,0,Bengaluru,Hyderabad,1,tablet,1,2,0.91,1
T10104,M135,2026-08-09T17:57:31.751678,4013.81,17,0,Delhi,Ahmedabad,1,desktop,0,1,1.34,0
T10105,M123,2026-07-28T06:01:56.751686,9722.92,6,1,Ahmedabad,Mumbai,1,tablet,0,3,1.22,1
T10106,M114,2026-08-23T10:22:10.751694,843.7,10,0,Chennai,Kolkata,1,mobile,1,1,1.69,0
T10107,M131,2026-07-28T15:05:24.751704,644.18,15,0,Jaipur,Bengaluru,1,desktop,0,1,1.29,0
T10108,M134,2026-08-12T08:07:05.751712,1351.2,8,1,Delhi,Ahmedabad,1,tablet,1,1,0.45,0
T10109,M123,2026-08-02T12:56:15.751721,5311.7,12,0,Hyderabad,Pune,1,mobile,0,5,0.66,0
T10110,M122,2026-07-25T22:20:45.751729,395.92,22,1,Ahmedabad,Delhi,1,tablet,0,1,0.79,1
T10111,M103,2026-08-30T04:28:55.751738,577.5,4,1,Bengaluru,Bhubaneswar,1,mobile,0,1,1.16,0
T10112,M113,2026-08-31T11:04:31.751746,24878.01,11,0,Bhubaneswar,Mumbai,1,desktop,0,3,1.24,0
T10113,M116,2026-08-30T18:08:09.751754,2217.82,18,0,Mumbai,Bengaluru,1,mobile,0,1,0.74,0
T10114,M101,2026-07-31T10:48:41.751764,2939.77,10,0,Delhi,Delhi,0,desktop,0,1,0.98,0
T10115,M128,2026-08-16T10:48:52.751772,24145.87,10,0,Bhubaneswar,Mumbai,1,tablet,1,2,1.21,0
T10116,M129,2026-08-23T05:20:46.751780,569.05,5,1,Kolkata,Kolkata,0,tablet,0,1,1.14,0
T10117,M105,2026-08-07T15:05:14.751789,19364.83,15,0,Delhi,Bengaluru,1,desktop,0,1,0.97,0
T10118,M124,2026-08-20T23:48:43.751797,284.11,23,0,Delhi,Delhi,0,tablet,0,1,0.57,0
T10119,M113,2026-08-12T20:52:04.751806,18321.35,20,0,Hyderabad,Kolkata,1,desktop,0,2,0.92,0
T10120,M120,2026-08-12T17:00:57.751814,2647.61,17,0,Ahmedabad,Delhi,1,mobile,0,2,0.88,0
T10121,M123,2026-08-31T09:34:47.751823,10267.73,9,1,Mumbai,Bhubaneswar,1,tablet,0,1,1.28,0
T10122,M127,2026-09-03T03:12:02.751831,22245.0,3,0,Chennai,Pune,1,mobile,0,1,1.11,0
T10123,M114,2026-09-02T02:56:48.751840,467.21,2,1,Jaipur,Pune,1,mobile,0,2,0.93,1
T10124,M135,2026-08-29T05:55:25.751848,3689.74,5,0,Mumbai,Bhubaneswar,1,tablet,0,2,1.23,0
T10125,M119,2026-09-05T17:28:08.751856,3988.82,17,0,Mumbai,Bengaluru,1,mobile,0,1,0.5,0
T10126,M101,2026-07-27T10:42:19.751864,2979.6,10,0,Pune,Bengaluru,1,desktop,0,1,0.99,0
T10127,M138,2026-07-27T02:46:55.751877,360.83,2,1,Bengaluru,Bengaluru,0,tablet,0,1,0.72,0
T10128,M127,2026-08-15T13:38:12.751886,13529.49,13,0,Jaipur,Delhi,1,desktop,0,1,0.68,0
T10129,M131,2026-08-17T13:43:21.751896,371.11,13,0,Mumbai,Hyderabad,1,desktop,0,5,0.74,0
T10130,M113,2026-08-29T05:49:37.751905,23999.05,5,0,Mumbai,Ahmedabad,1,tablet,0,1,1.2,0
T10131,M114,2026-08-16T06:38:52.751913,616.66,6,1,Pune,Delhi,1,desktop,0,3,1.23,0
T10132,M104,2026-09-02T20:13:51.751921,16729.99,20,0,Kolkata,Chennai,1,mobile,1,1,0.84,0
T10133,M139,2026-08-14T07:51:06.751929,2086.24,7,1,Pune,Delhi,1,desktop,0,2,1.39,0
T10134,M133,2026-07-26T19:25:49.751937,2179.69,19,0,Pune,Bengaluru,1,mobile,0,1,0.73,0
T10135,M122,2026-08-09T00:51:39.751945,605.0,0,1,Bengaluru,Hyderabad,1,mobile,0,1,1.21,0
T10136,M104,2026-07-31T14:11:24.751954,30727.01,14,0,Bhubaneswar,Bhubaneswar,0,desktop,1,1,1.54,0
T10137,M139,2026-08-07T16:21:53.751963,1245.8,16,0,Pune,Bengaluru,1,desktop,0,1,0.83,0
T10138,M117,2026-08-20T16:51:14.751971,2169.93,16,0,Ahmedabad,Mumbai,1,mobile,0,1,1.45,0
T10139,M105,2026-08-21T20:20:12.751980,23290.38,20,0,Kolkata,Ahmedabad,1,tablet,0,1,1.16,0
T10140,M128,2026-09-05T02:55:11.751988,24265.53,2,1,Ahmedabad,Jaipur,1,mobile,0,4,1.21,1
T10141,M121,2026-08-26T16:02:16.751996,9189.99,16,0,Bengaluru,Mumbai,1,mobile,1,2,0.46,0
T10142,M139,2026-07-30T16:45:09.752004,619.7,16,0,Pune,Bhubaneswar,1,mobile,0,2,0.41,0
T10143,M106,2026-08-19T01:52:27.752012,837.52,1,1,Chennai,Chennai,0,tablet,1,3,1.68,1
T10144,M109,2026-08-08T04:11:41.752020,30294.24,4,1,Chennai,Kolkata,1,mobile,1,1,1.51,1
T10145,M124,2026-08-23T05:31:26.752028,644.66,5,0,Bengaluru,Jaipur,1,mobile,0,1,1.29,0
T10146,M123,2026-08-06T23:39:18.752037,8942.69,23,1,Ahmedabad,Hyderabad,1,mobile,0,8,1.12,1
T10147,M106,2026-08-16T15:18:04.752046,625.75,15,0,Jaipur,Mumbai,1,tablet,0,1,1.25,0
T10148,M124,2026-07-30T11:31:02.752054,697.67,11,0,Bengaluru,Ahmedabad,1,mobile,0,1,1.4,0
T10149,M128,2026-08-21T15:11:42.752063,32857.16,15,0,Ahmedabad,Hyderabad,1,tablet,1,1,1.64,0
T10150,M112,2026-08-09T20:21:56.752072,1160.41,20,0,Chennai,Kolkata,1,tablet,1,1,0.77,0
T10151,M138,2026-07-29T17:02:45.752082,265.94,17,0,Mumbai,Ahmedabad,1,desktop,0,1,0.53,0
T10152,M107,2026-08-05T19:55:20.752090,602.19,19,0,Jaipur,Bengaluru,1,desktop,1,1,1.2,0
T10153,M122,2026-07-24T06:52:22.752098,559.46,6,1,Kolkata,Jaipur,1,desktop,1,1,1.12,1
T10154,M101,2026-08-07T11:05:41.752106,5080.83,11,0,Bengaluru,Bengaluru,0,mobile,0,1,1.69,0
T10155,M108,2026-08-28T19:54:50.752114,1017.0,19,1,Ahmedabad,Bhubaneswar,1,mobile,0,3,0.68,0
T10156,M109,2026-08-18T15:12:11.752122,30197.65,15,0,Chennai,Hyderabad,1,desktop,0,1,1.51,0
T10157,M139,2026-08-14T04:22:33.752132,1198.44,4,1,Ahmedabad,Bhubaneswar,1,tablet,0,1,0.8,0
T10158,M109,2026-08-06T03:09:23.752139,10023.8,3,1,Kolkata,Bengaluru,1,tablet,0,1,0.5,0
T10159,M133,2026-08-18T09:42:05.752148,3712.93,9,0,Jaipur,Jaipur,0,mobile,0,1,1.24,0
T10160,M123,2026-08-04T07:19:26.752156,7949.29,7,1,Hyderabad,Delhi,1,tablet,0,2,0.99,0
T10161,M134,2026-08-08T10:14:10.752164,1872.22,10,0,Bengaluru,Ahmedabad,1,tablet,0,1,0.62,0
T10162,M129,2026-07-24T18:53:21.752172,483.86,18,0,Mumbai,Pune,1,desktop,1,1,0.97,0
T10163,M116,2026-07-24T18:27:58.752180,3345.88,18,0,Hyderabad,Chennai,1,desktop,0,3,1.12,0
T10164,M117,2026-07-29T00:49:26.752187,1696.2,0,0,Ahmedabad,Kolkata,1,desktop,0,5,1.13,0
T10165,M133,2026-08-04T22:33:07.752196,1775.14,22,0,Kolkata,Delhi,1,desktop,0,1,0.59,0
T10166,M120,2026-07-27T23:20:06.752203,4546.2,23,0,Bhubaneswar,Kolkata,1,mobile,0,1,1.52,0
T10167,M122,2026-08-21T20:09:14.752212,641.82,20,1,Chennai,Mumbai,1,mobile,0,1,1.28,0
T10168,M110,2026-07-24T12:04:53.752221,26826.53,12,0,Mumbai,Bengaluru,1,mobile,0,1,1.34,0
T10169,M136,2026-07-24T13:31:53.752229,2141.37,13,0,Ahmedabad,Pune,1,desktop,0,1,1.43,0
T10170,M123,2026-08-11T07:32:35.752237,6981.91,7,1,Mumbai,Bengaluru,1,desktop,1,1,0.87,0
T10171,M116,2026-08-26T04:03:48.752245,3891.68,4,1,Bhubaneswar,Chennai,1,tablet,0,3,1.3,0
T10172,M104,2026-08-13T22:28:04.752253,25906.88,22,1,Pune,Pune,0,tablet,0,1,1.3,0
T10173,M110,2026-08-26T13:07:03.752261,31182.7,13,0,Bengaluru,Pune,1,tablet,1,1,1.56,0
T10174,M115,2026-08-30T08:39:04.752269,4974.15,8,0,Ahmedabad,Jaipur,1,mobile,0,1,0.62,0
T10175,M130,2026-08-17T12:16:47.752278,1521.32,12,0,Kolkata,Bhubaneswar,1,mobile,0,1,1.01,0
T10176,M129,2026-08-25T00:11:03.752286,395.8,0,1,Jaipur,Bhubaneswar,1,mobile,0,2,0.79,0
T10177,M103,2026-09-01T08:26:25.752298,488.59,8,1,Bengaluru,Chennai,1,mobile,1,1,0.98,0
T10178,M133,2026-09-04T10:27:51.752307,2896.74,10,0,Jaipur,Chennai,1,mobile,0,1,0.97,0
T10179,M110,2026-08-20T17:18:24.752315,23168.66,17,0,Bengaluru,Bengaluru,0,tablet,1,1,1.16,0
T10180,M136,2026-07-24T23:47:41.752323,13734.7,23,1,Bhubaneswar,Chennai,1,tablet,0,1,9.16,1
T10181,M101,2026-08-16T04:03:23.752332,2743.66,4,1,Jaipur,Chennai,1,tablet,0,4,0.91,1
T10182,M125,2026-08-06T10:20:08.752341,207.41,10,0,Kolkata,Ahmedabad,1,desktop,0,1,0.41,0
T10183,M120,2026-08-27T15:12:16.752349,3527.49,15,0,Pune,Kolkata,1,mobile,0,2,1.18,0
T10184,M115,2026-08-14T15:16:47.752357,10510.92,15,0,Mumbai,Chennai,1,desktop,0,3,1.31,0
T10185,M110,2026-08-31T11:34:13.752365,26084.8,11,0,Bhubaneswar,Pune,1,mobile,0,2,1.3,0
T10186,M131,2026-09-03T15:59:50.752373,484.43,15,0,Jaipur,Ahmedabad,1,mobile,0,1,0.97,0
T10187,M131,2026-08-20T23:57:35.752383,540.41,23,1,Ahmedabad,Chennai,1,tablet,0,1,1.08,0
T10188,M116,2026-08-27T07:24:29.752390,7575.41,7,1,Jaipur,Hyderabad,1,desktop,0,1,2.53,0
T10189,M135,2026-08-05T13:41:53.752400,3910.7,13,0,Bhubaneswar,Bhubaneswar,0,mobile,0,1,1.3,0
T10190,M121,2026-08-19T01:43:16.752407,32441.82,1,0,Jaipur,Kolkata,1,tablet,0,1,1.62,0
T10191,M130,2026-08-17T04:51:59.752416,1123.4,4,0,Bhubaneswar,Jaipur,1,mobile,0,1,0.75,0
T10192,M139,2026-08-27T21:10:10.752423,1942.56,21,1,Jaipur,Jaipur,0,desktop,0,2,1.3,0
T10193,M123,2026-08-08T01:43:19.752432,4411.74,1,1,Kolkata,Bhubaneswar,1,desktop,0,2,0.55,0
T10194,M101,2026-08-20T23:15:00.752439,50,23,1,Bhubaneswar,Bhubaneswar,0,mobile,0,2,0.02,0
T10195,M139,2026-08-29T14:16:53.752449,1749.23,14,0,Bengaluru,Hyderabad,1,mobile,0,1,1.17,0
T10196,M128,2026-08-07T05:16:41.752458,12794.89,5,1,Jaipur,Bhubaneswar,1,desktop,0,3,0.64,0
T10197,M108,2026-08-17T04:06:35.752468,1802.49,4,1,Pune,Ahmedabad,1,tablet,1,1,1.2,1
T10198,M134,2026-08-08T14:38:23.752476,1274.31,14,0,Chennai,Bhubaneswar,1,desktop,0,1,0.42,0
T10199,M114,2026-08-06T10:32:45.752485,413.94,10,0,Hyderabad,Ahmedabad,1,desktop,0,1,0.83,0
T10200,M117,2026-08-05T23:05:56.752494,2149.91,23,0,Kolkata,Pune,1,mobile,0,1,1.43,0
T10201,M122,2026-09-05T20:20:57.752502,708.29,20,1,Chennai,Ahmedabad,1,mobile,0,1,1.42,1
T10202,M117,2026-07-29T15:44:04.752510,2262.84,15,0,Mumbai,Jaipur,1,mobile,0,1,1.51,0
T10203,M130,2026-07-27T20:56:35.752526,2124.85,20,0,Bengaluru,Mumbai,1,tablet,0,5,1.42,0
T10204,M130,2026-08-15T04:04:04.752534,910.48,4,0,Chennai,Mumbai,1,mobile,0,1,0.61,0
T10205,M102,2026-09-05T07:47:23.752543,682.79,7,1,Kolkata,Bengaluru,1,mobile,0,8,0.46,1
T10206,M118,2026-09-03T13:16:47.752551,663.73,13,0,Pune,Chennai,1,desktop,0,5,1.33,0
T10207,M108,2026-09-02T07:21:23.752561,1617.82,7,1,Chennai,Hyderabad,1,mobile,0,1,1.08,0
T10208,M111,2026-07-23T16:12:33.752569,18811.61,16,0,Hyderabad,Bengaluru,1,tablet,1,3,0.94,1
T10209,M132,2026-08-07T21:51:44.752578,147.49,21,0,Delhi,Bengaluru,1,mobile,1,1,0.29,0
T10210,M124,2026-08-03T10:12:07.752586,351.11,10,0,Bhubaneswar,Bhubaneswar,0,mobile,0,1,0.7,0
T10211,M107,2026-08-14T14:01:28.752595,551.78,14,0,Kolkata,Jaipur,1,tablet,0,2,1.1,0
T10212,M118,2026-08-09T20:01:10.752603,394.26,20,0,Bengaluru,Ahmedabad,1,tablet,0,5,0.79,0
T10213,M130,2026-08-28T18:10:38.752612,1221.67,18,0,Hyderabad,Hyderabad,0,tablet,1,2,0.81,0
T10214,M128,2026-08-17T15:09:58.752620,19075.89,15,0,Mumbai,Jaipur,1,tablet,0,1,0.95,0
T10215,M133,2026-08-13T10:34:53.752630,2536.33,10,0,Hyderabad,Bhubaneswar,1,desktop,0,1,0.85,0
T10216,M129,2026-07-29T09:31:34.752638,279.81,9,0,Ahmedabad,Chennai,1,tablet,0,1,0.56,0
T10217,M113,2026-08-20T01:34:53.752647,19265.16,1,0,Kolkata,Pune,1,tablet,1,1,0.96,1
T10218,M104,2026-08-14T21:48:10.752656,28040.6,21,0,Kolkata,Pune,1,desktop,1,1,1.4,0
T10219,M105,2026-08-25T03:14:18.752664,21624.86,3,0,Jaipur,Bengaluru,1,tablet,0,3,1.08,0
T10220,M125,2026-08-17T15:56:46.752672,886.61,15,0,Mumbai,Chennai,1,desktop,0,1,1.77,0
T10221,M114,2026-08-04T00:10:20.752680,898.18,0,1,Bengaluru,Chennai,1,mobile,0,4,1.8,0
T10222,M126,2026-08-21T20:14:14.752688,15781.24,20,1,Delhi,Bhubaneswar,1,mobile,0,1,5.26,1
T10223,M115,2026-08-27T22:35:34.752697,9695.41,22,0,Jaipur,Hyderabad,1,mobile,1,1,1.21,0
T10224,M136,2026-08-07T11:20:59.752706,587.39,11,0,Hyderabad,Chennai,1,mobile,0,5,0.39,0
T10225,M117,2026-07-25T22:49:14.752714,1016.98,22,0,Bhubaneswar,Bengaluru,1,tablet,0,1,0.68,0
T10226,M122,2026-08-23T05:19:03.752722,333.46,5,1,Kolkata,Kolkata,0,mobile,0,1,0.67,0
T10227,M115,2026-09-02T05:21:14.752732,3054.64,5,0,Bengaluru,Ahmedabad,1,mobile,1,1,0.38,0
